plate,tier,callSign,location,contact,instructions,zone,notes
"RJX-6643","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JM-6535","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JM-6536","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JG-2787","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"8DR-6862","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"8HV-9866","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"1GC-8312","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"FZ-7900","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JC-0031","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"SVW-3531","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JK-0572","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"9FB-6792","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JE-1244","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"8EP-5171","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"7GM-1654","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TULMUL","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TRE-2456","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TCJ-4553","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"ED-5899","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TGN-4629","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"35765CK","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"4HW-0195","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JR-9498","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JG-8266","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"04265H","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JV-7449","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JE-2878","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JU-0805","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"GV-8160","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"FM-7294","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JH-0288","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"KSZ-2586","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JN-9745","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JH-8959","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JH-7573","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"KSB-9892","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"AB55615","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JT-3898","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"CPC-7799","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"U-831429","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TLK-6495","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"UC-54922","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JK-6142","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"AUZ-519","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JM-6206","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JJ-2019","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JR-6056","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JU-9676","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JT-6356","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JTBC","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"EU-688","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JR-6454","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JJ-9935","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JG-1777","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JG-6613","1","HERMES-7","Gate B — Loading Dock 3","Mike T.","DRV-PICKUP: Meet driver at Gate B. Verify seal #4482 before release.","North","driver pickup"
"9GS8987","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JTL-TRUCK","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"B53723","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TZN1053","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TET9443","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
